"","feature","symbol","human_ortholog","gene_title","chr","source","gene_name","uniprot"
"Alas2","Alas2","Alas2","ALAS2","aminolevulinic acid synthase 2, erythroid","X","org.Mm.eg.db","Alas2","A2AFM1;Q3TA47;Q3TNI1;Q8R1G3;A2AFM0;P08680;Q64452;Q9DCN0"
"A330015D16Rik","A330015D16Rik","Ccdc171","CCDC171","coiled-coil domain containing 171","4","org.Mm.eg.db","A330015D16Rik","E9Q1U1;Q8BLX2;S4R1F3"
"BC031748","BC031748","Fam199x","FAM199X","family with sequence similarity 199, X-linked",NA,"org.Mm.eg.db","BC031748","B1AZH1;Q3U3R2;Q8K2D0"
"Il2rb","Il2rb","Il2rb","IL2RB","interleukin 2 receptor, beta chain","15","org.Mm.eg.db","Il2rb","P16297;Q3TEQ2;Q3TZT2;Q8CBU1"
"Ski","Ski","Ski","SKI","ski sarcoma viral oncogene homolog (avian)","4","org.Mm.eg.db","Ski","Q60698;Q8VIL5;B1AUF1"
"Mafa","Mafa","Klrg1","KLRG1","killer cell lectin-like receptor subfamily G, member 1","6","org.Mm.eg.db","Mafa","O88713;Q3T1F0"
"Enpp2","Enpp2","Enpp2","ENPP2","ectonucleotide pyrophosphatase/phosphodiesterase 2","15","org.Mm.eg.db","Enpp2","Q9R1E6;G3UXY9;A8UH85;A8UH93;B2ZP54;Q6PDE0;Q99LG9"
"Il1b","Il1b","Il1b","IL1B","interleukin 1 beta","2","org.Mm.eg.db","Il1b","P10749;Q2M4J6"
"Reg3a","Reg3a","Reg3a","REG3A","regenerating islet-derived 3 alpha","6","org.Mm.eg.db","Reg3a","O09037;Q794C6;Q9CVF4"
"Dnajc12","Dnajc12","Dnajc12","DNAJC12","DnaJ heat shock protein family (Hsp40) member C12","10","org.Mm.eg.db","Dnajc12","D3Z0D9;Q9CWA0;Q9R022"
"Mphosph1","Mphosph1","Kif20b","KIF20B","kinesin family member 20B","19","org.Mm.eg.db","Mphosph1","B7ZWN1;E9QPW5;Q3V347;Q80VC0;Q80WE4;Q8BLI2;Q99PT5"
"4631416L12Rik","4631416L12Rik","Arhgef26","ARHGEF26","Rho guanine nucleotide exchange factor 26","3","org.Mm.eg.db","4631416L12Rik","D3YYY8"
"Clca1","Clca1","Clca3a1;Clca1","","chloride channel accessory 3A1; chloride channel accessory 1","3","org.Mm.eg.db","Clca1","B7ZN73;O88860;Q3UQR1;Q8C324;Q8CCM1;Q9QX15;Q9R070;O88826;Q8R049;Q9D7Z6"
"A330080J22Rik","A330080J22Rik","Tfdp2","TFDP2","transcription factor Dp 2","9","org.Mm.eg.db","A330080J22Rik","F7AYT3;Q8BHD2;Q8C537;E9PWL5;Q8C8M7;J3QK26;Q3TY79;F6QG91;Q64163;A0A087WPU8;Q56A02;A0A087WPN5;A0A087WSK4;A0A0K0K1B8"
"Smc1l2","Smc1l2","Smc1b","SMC1B","structural maintenance of chromosomes 1B","15","org.Mm.eg.db","Smc1l2","A1L2Z0;Q920F6"
"Akap12","Akap12","Akap12","AKAP12","A kinase anchor protein 12","10","org.Mm.eg.db","Akap12","A0A668KLD3;A0A668KLV9;B2RRE0;Q80SS4;Q810D4;Q8BPK4;Q99MP1;Q9WTQ5"
"Hook1","Hook1","Hook1","HOOK1","hook microtubule tethering protein 1","4","org.Mm.eg.db","Hook1","Q8BIL5;Q8BIZ2;Q8K0P1;Q8K454;Q9CTN6"
"AW111922","AW111922","","",NA,NA,"org.Mm.eg.db","AW111922",NA
"Zfp503","Zfp503","Zfp503","ZNF503","zinc finger protein 503","14","org.Mm.eg.db","Zfp503","Q7TMA2;Q8VCV4"
"Scd2","Scd2","Scd2","SCD","stearoyl-Coenzyme A desaturase 2","19","org.Mm.eg.db","Scd2","P13011;Q8BH96"
"Oas2","Oas2","Oas2","OAS2","2'-5' oligoadenylate synthetase 2","5","org.Mm.eg.db","Oas2","E9Q9A9;Q8K4E5;Q8VI92"
"C1qg","C1qg","C1qc","C1QC","complement component 1, q subcomponent, C chain","4","org.Mm.eg.db","C1qg","A0A3B0INZ4;Q02105;Q6DI63"
"Pscdbp","Pscdbp","Cytip","CYTIP","cytohesin 1 interacting protein","2","org.Mm.eg.db","Pscdbp","A2AS77;Q3TCC3;Q3TLX8;Q3TZH1;Q8R4T4;Q91VY6;Q9QZA9"
"Gdf5","Gdf5","Gdf5","GDF5","growth differentiation factor 5","2","org.Mm.eg.db","Gdf5","A2ARK2;P43027"
"2310069P03Rik","2310069P03Rik","Dus4l","DUS4L","dihydrouridine synthase 4 like","12","org.Mm.eg.db","2310069P03Rik","A0A0R4J016;Q32M08;Q9D6P4"
"Gpr49","Gpr49","Lgr5","LGR5","leucine rich repeat containing G protein coupled receptor 5","10","org.Mm.eg.db","Gpr49","G3UXX4;Q3V1L2;Q9Z1P4"
"Pdcd1lg1","Pdcd1lg1","Cd274","CD274","CD274 antigen","19","org.Mm.eg.db","Pdcd1lg1","Q3U472;Q9EP73"
"Tk1","Tk1","Tk1","TK1","thymidine kinase 1","11","org.Mm.eg.db","Tk1","P04184;A0A1S6GWJ3;Q58EU0;Q8C3P8;Q921J8"
"AI173486","AI173486","","",NA,NA,"org.Mm.eg.db","AI173486",NA
"Osmr","Osmr","Osmr","OSMR","oncostatin M receptor","15","org.Mm.eg.db","Osmr","A0A0R4J268;B9EHD2;O70458;O88821;G3X8V6"
"Pla2g1b","Pla2g1b","Pla2g1b","PLA2G1B","phospholipase A2, group IB, pancreas","5","org.Mm.eg.db","Pla2g1b","D3YWH2;D3Z1N8;A6H6K5;Q9D7E2;Q9D884;Q9Z0Y2"
"BC004701","BC004701","Ercc6l","ERCC6L","excision repair cross-complementing rodent repair deficiency complementation group 6 like",NA,"org.Mm.eg.db","BC004701","Q8BGN1;Q8BHK9;Q8BRC9;Q8CE49"
"2400003B06Rik","2400003B06Rik","Tmed9","TMED9","transmembrane p24 trafficking protein 9","13","org.Mm.eg.db","2400003B06Rik","Q3U7N8;Q6PDC2;Q99KF1;Q9CX02"
"Gdf10","Gdf10","Gdf10","GDF10","growth differentiation factor 10","14","org.Mm.eg.db","Gdf10","P97737;Q53X20;Q6PE07"
"AU041783","AU041783","","",NA,NA,"org.Mm.eg.db","AU041783",NA
"Gpld1","Gpld1","Gpld1","GPLD1","glycosylphosphatidylinositol specific phospholipase D1","13","org.Mm.eg.db","Gpld1","Q8R432;Q8VCU2;Q9DBH3"
"Eif4a2","Eif4a2","Eif4a2;Eif4b","EIF4A2","eukaryotic translation initiation factor 4A2; eukaryotic translation initiation factor 4B","16;15","org.Mm.eg.db","Eif4a2","E9Q561;A0A338P6X5;Q8BTU6;Q4FZL1;P10630;Q52KC1;Q61513;Q61514;Q3TD64;Q3TSY9;Q3UGC0;Q8BGD9"
"2610036L13Rik","2610036L13Rik","Cdca5","CDCA5","cell division cycle associated 5","19","org.Mm.eg.db","2610036L13Rik","Q78HI6;Q9CPY3"
"Hexb","Hexb","Hexb","HEXB","hexosaminidase B","13","org.Mm.eg.db","Hexb","P20060;Q3TXR9"
"C1qb","C1qb","C1qb","C1QB","complement component 1, q subcomponent, beta polypeptide","4","org.Mm.eg.db","C1qb","P14106;Q3U6I5;Q3U793;Q3US82"
"1200013B08Rik","1200013B08Rik","Sash3","SASH3","SAM and SH3 domain containing 3","X","org.Mm.eg.db","1200013B08Rik","Q8K352;Q3TBX0;Q9DBV2"
"Ptgs1","Ptgs1","Ptgs1","PTGS1","prostaglandin-endoperoxide synthase 1","2","org.Mm.eg.db","Ptgs1","P22437;Q3UZ23;Q543T1;Q8CIL6"
"Myo5a","Myo5a","Myo5a","MYO5A","myosin VA","9","org.Mm.eg.db","Myo5a","E9PUE5;Q99104;D3Z4J3;D3YZ62"
"Gpt2","Gpt2","Gpt2","GPT2","glutamic pyruvate transaminase (alanine aminotransferase) 2","8","org.Mm.eg.db","Gpt2","Q8BGT5;Q8BVY7;Q8K1J3"
"A630077B13Rik","A630077B13Rik","Calhm6","CALHM6","calcium homeostasis modulator family member 6","10","org.Mm.eg.db","A630077B13Rik","Q8C9E8"
"Ephx1","Ephx1","Ephx1","EPHX1","epoxide hydrolase 1, microsomal","1","org.Mm.eg.db","Ephx1","E9PWK1;Q6PEV0;P97869;Q8K2W5;Q9D379"
"Gp49b","Gp49b","Lilrb4a","","leukocyte immunoglobulin-like receptor, subfamily B, member 4A","10","org.Mm.eg.db","Gp49b","A0A1W2P6F1;A0A1W2P7X1;Q64281;Q64312"
"BC005662","BC005662","Lpcat1","LPCAT1","lysophosphatidylcholine acyltransferase 1",NA,"org.Mm.eg.db","BC005662","Q3TAX4;Q3TFD2;Q6NXZ6;Q8BG23;Q8BUX7;Q99JU6"
"4932438A13Rik","4932438A13Rik","Bltp1","BLTP1","bridge-like lipid transfer protein family member 1","3","org.Mm.eg.db","4932438A13Rik","A2AAD2;A2AAD4;A2AAE1;E9Q376;Q05BP8;Q3UG08;Q3UYB7;Q571C4;Q69ZR8;Q6AXD9;Q8BWF1;Q8BY77;Q8CEA4;Q8R0A8"
"9430083G14Rik","9430083G14Rik","Apool","APOOL","apolipoprotein O-like","X","org.Mm.eg.db","9430083G14Rik","Q9CZB4;B1AV14;Q78IK4"
"Lss","Lss","Lss","LSS","lanosterol synthase","10","org.Mm.eg.db","Lss","Q8BLN5;Q8BVJ4;Q8K307"
"Asl","Asl","Adsl;Asl","ADSL","adenylosuccinate lyase; argininosuccinate lyase","15;5","org.Mm.eg.db","Asl","P54822;Q3TMB8;Q8VCD4;Q3UFA2;Q3UUH0;Q91YI0;F7D439"
"C530028O21Rik","C530028O21Rik","Pianp","PIANP","PILR alpha associated neural protein","6","org.Mm.eg.db","C530028O21Rik","Q3UFR0;Q6P1B3;Q71A40;Q8BHU8"
"Col4a1","Col4a1","Col4a1","COL4A1","collagen, type IV, alpha 1","8","org.Mm.eg.db","Col4a1","A0A1B0GSI7;P02463;Q3UHJ4;Q3UJE7;Q3UQV2;Q53X35;Q6GQS7;Q6PHB5;Q99LQ8"
"9030622O22Rik","9030622O22Rik","9030622O22Rik","","RIKEN cDNA 9030622O22 gene",NA,"org.Mm.eg.db","9030622O22Rik",NA
"Traf1","Traf1","Traf1","TRAF1","TNF receptor-associated factor 1","2","org.Mm.eg.db","Traf1","P39428;Q3UM74;Q8CE28;Q8C245"
"Cml1","Cml1","Nat8f1","","N-acetyltransferase 8 (GCN5-related) family member 1","6","org.Mm.eg.db","Cml1","E0CYC6;Q91XE3;Q9CW77;Q9JIZ0;E9PUL7"
"Mcm4","Mcm4","Mcm4","MCM4","minichromosome maintenance complex component 4","16","org.Mm.eg.db","Mcm4","O89056;P49717;Q3UA65;Q542F4;Q921D5"
"1200020A08Rik","1200020A08Rik","Cript","CRIPT","cysteine-rich PDZ-binding protein","17","org.Mm.eg.db","1200020A08Rik","O70333;Q99LR6;Q9DBP4"
"5033428A16Rik","5033428A16Rik","Cnep1r1","CNEP1R1","CTD nuclear envelope phosphatase 1 regulatory subunit 1","8","org.Mm.eg.db","5033428A16Rik","A7E1Z4;D3Z6J3;Q3UJ81;Q8VEG8;Q9D3Q4"
"1300003B13Rik","1300003B13Rik","Zfp946","","zinc finger protein 946","17","org.Mm.eg.db","1300003B13Rik","F6VWU8"
"Dock10","Dock10","Dock10","DOCK10","dedicator of cytokinesis 10","1","org.Mm.eg.db","Dock10","B2RWY0;A0A087WRP5;A0A087WQ86;E9QM99;F1AHI9;Q8BZN6;A0A0R4J2B7"
"Mylc2pl","Mylc2pl","Myl10","MYL10","myosin, light chain 10, regulatory","5","org.Mm.eg.db","Mylc2pl","Q62082;A0A0G2JDZ4;E9QNY3"
"LOC210321","LOC210321","","",NA,NA,"org.Mm.eg.db","LOC210321",NA
"Pltp","Pltp","Pltp","PLTP","phospholipid transfer protein","2","org.Mm.eg.db","Pltp","P55065;Q3UFS5;Q4FJT5;Q99L70"
"Nt5e","Nt5e","Nt5e","NT5E","5' nucleotidase, ecto","9","org.Mm.eg.db","Nt5e","Q0VEE0;Q3U3S1;Q61503"
"A830073O21Rik","A830073O21Rik","A830073O21Rik","","RIKEN cDNA A830073O21 gene",NA,"org.Mm.eg.db","A830073O21Rik",NA
"Kcnq1","Kcnq1","Kcnq1","KCNQ1","potassium voltage-gated channel, subfamily Q, member 1","7","org.Mm.eg.db","Kcnq1","O88702;P97414;Q3U4H1;Q7TNZ1;Q7TPL7;Q80VR7;A0A087WNY7"
"Kifc3","Kifc3","Kifc3","KIFC3","kinesin family member C3","8","org.Mm.eg.db","Kifc3","E9PWU7;A0A1D5RLM0;O35072;O35231;Q1WNZ8;Q3UX36;Q3V0U4;Q6NS71;Q8R3Y4;Q91YQ2;Q99KP7"
"Col5a3","Col5a3","Col5a3","COL5A3","collagen, type V, alpha 3","9","org.Mm.eg.db","Col5a3","Q9JLI2"
"Fgd6","Fgd6","Fgd6","FGD6","FYVE, RhoGEF and PH domain containing 6","10","org.Mm.eg.db","Fgd6","B2RSV7;Q69ZL1;Q8C8W5;Q8K3B0;Q9D3Y7"
"D4Ertd421e","D4Ertd421e","Cdca8","CDCA8","cell division cycle associated 8","4","org.Mm.eg.db","D4Ertd421e","B1ARX0;B1ARX1;Q6NVD3;Q8BHB1;Q8BHQ5;Q8BHQ9;Q8BHX3;Q9CRN4;Q9CS02;Q9CTF4"
"Tmem25","Tmem25","Tmem25","TMEM25","transmembrane protein 25","9","org.Mm.eg.db","Tmem25","Q3U4J4;Q3TMP3;Q6PAK7;Q9DCF1;A0A1N9MYB8"
"Ehd4","Ehd4","Ehd4","EHD4","EH-domain containing 4","2","org.Mm.eg.db","Ehd4","Q3TQ74;Q3TM70;Q3TWP9;Q9EQP2"
"Chad","Chad","Chad","CHAD","chondroadherin","11","org.Mm.eg.db","Chad","O55226;Q3TYW1"
"D430042O09Rik","D430042O09Rik","Katnip","KATNIP","katanin interacting protein","7","org.Mm.eg.db","D430042O09Rik","B2RXY0;Q80TX9;Q8C753;Q8C759;Q8CFE1;Q8K0N9;F6XQI1"
"Actc1","Actc1","Actc1","ACTC1","actin, alpha, cardiac muscle 1","2","org.Mm.eg.db","Actc1","P68033;Q3TG92;Q3UIJ3;Q497E4;Q9CXK3"
"Cygb","Cygb","Cygb","CYGB","cytoglobin","11","org.Mm.eg.db","Cygb","Q8BN80;Q546K1;Q9CX80"
"2810043G22Rik","2810043G22Rik","Naaladl2","NAALADL2","N-acetylated alpha-linked acidic dipeptidase-like 2","3","org.Mm.eg.db","2810043G22Rik","A0A0N4SUJ3"
"Igfbp3","Igfbp3","Igfbp3","IGFBP3","insulin-like growth factor binding protein 3","11","org.Mm.eg.db","Igfbp3","P47878;Q6PE62;Q3UR87"
"Fgf8","Fgf8","Fgf8","FGF8","fibroblast growth factor 8","19","org.Mm.eg.db","Fgf8","Q80ZL6;G3DRA7;Q3V279;P37237;D3Z207"
"Tm4sf6","Tm4sf6","Tspan6","TSPAN6","tetraspanin 6","X","org.Mm.eg.db","Tm4sf6","O70401;Q3TV84;Q99L96"
"Socs1","Socs1","Socs1","SOCS1","suppressor of cytokine signaling 1","16","org.Mm.eg.db","Socs1","A2RT46;O35716;O35960;Q3U3L0"
"AB041803","AB041803","Lncpint","LINC-PINT","long non-protein coding RNA, Trp53 induced transcript",NA,"org.Mm.eg.db","AB041803",NA
"Mobkl2b","Mobkl2b","Mob3b","MOB3B","MOB kinase activator 3B","4","org.Mm.eg.db","Mobkl2b","Q3TC05;Q3U2L2;Q8BU65;Q8VE04"
"Npn3","Npn3","Srxn1","SRXN1","sulfiredoxin 1 homolog (S. cerevisiae)","2","org.Mm.eg.db","Npn3","Q3TWN6;Q91VN5;Q9D975;A2AQU8"
"1700061G19Rik","1700061G19Rik","Acsbg3","","acyl-CoA synthetase bubblegum family member 3","17","org.Mm.eg.db","1700061G19Rik","Q08EE8"
"Tgm1","Tgm1","Tgm1","TGM1","transglutaminase 1, K polypeptide","14","org.Mm.eg.db","Tgm1","A0A0R4J293;Q8R0T9;Q9JLF6"
"Apom","Apom","Apom","APOM","apolipoprotein M","17","org.Mm.eg.db","Apom","Q8VC79;Q9Z1R3"
"Ly64","Ly64","Muc13","MUC13","mucin 13, epithelial transmembrane","16","org.Mm.eg.db","Ly64","P19467;Q3V1S6"
"Tnfrsf18","Tnfrsf18","Tnfrsf18","TNFRSF18","tumor necrosis factor receptor superfamily, member 18","4","org.Mm.eg.db","Tnfrsf18","O35714;Q540M6;Q8C4K3;Q9JKR1;Q9JKR2;Q9JKR3"
"Ctla2a","Ctla2a","Ctla2a","","cytotoxic T lymphocyte-associated protein 2 alpha","13","org.Mm.eg.db","Ctla2a","A0A286YDF0;P12399;Q91V07"
"P2ry6","P2ry6","P2ry6","P2RY6","pyrimidinergic receptor P2Y, G-protein coupled, 6","7","org.Mm.eg.db","P2ry6","Q3UQ86;Q9ERK9"
"Matn2","Matn2","Matn2","MATN2","matrilin 2","15","org.Mm.eg.db","Matn2","E9QPK9;O08746;Q8R542;Q99K64;A0A2I3BRF3;Q8C435;Q569V0"
"Smc2l1","Smc2l1","Smc2","SMC2","structural maintenance of chromosomes 2","4","org.Mm.eg.db","Smc2l1","Q3ULS2;Q52KE9;Q61076;Q8CG48;Q9CS17;Q9CSD8"
"Cd53","Cd53","Cd53","CD53","CD53 antigen","3","org.Mm.eg.db","Cd53","Q3TV80;Q3U0W1;Q61451;Q61721"
"Lrrc25","Lrrc25","Lrrc25","LRRC25","leucine rich repeat containing 25","8","org.Mm.eg.db","Lrrc25","B9EHD0;Q3TAD5;Q8K1T1"
"Cdkn1c","Cdkn1c","Cdkn1c","CDKN1C","cyclin dependent kinase inhibitor 1C","7","org.Mm.eg.db","Cdkn1c","G3UW61;P49919;Q8BP34;Q791X1;Q91V06"
"Wdr10","Wdr10","Ift122","IFT122","intraflagellar transport 122","6","org.Mm.eg.db","Wdr10","Q6KAU2;Q6NWV3;Q8C8U5;Q8CD77;E9Q9G8"
"Ung","Ung","Ung","UNG","uracil DNA glycosylase","5","org.Mm.eg.db","Ung","P97285;P97509;P97931;Q7TPW8;Q9JIW8;Q791V7"
"Olfr514","Olfr514","Or10a48","OR10A3","olfactory receptor family 10 subfamily A member 48","7","org.Mm.eg.db","Olfr514","Q8VFZ6"
"2700084L22Rik","2700084L22Rik","Ube2t","UBE2T","ubiquitin-conjugating enzyme E2T","1","org.Mm.eg.db","2700084L22Rik","Q9CQ37"
"Lig1","Lig1","Lig1","LIG1","ligase I, DNA, ATP-dependent","7","org.Mm.eg.db","Lig1","P37913;Q8R055;Q3U4X8;Q3TSU8"
"Cmya4","Cmya4","Unc45b","UNC45B","unc-45 myosin chaperone B","11","org.Mm.eg.db","Cmya4","Q5XG72;Q8BHC5;Q8BWK3;Q8CGY6"
"Ltb4dh","Ltb4dh","Ptgr1","PTGR1","prostaglandin reductase 1","4","org.Mm.eg.db","Ltb4dh","Q3TKT6;Q4FJY5;Q91YR9;Q9CPS1"
"Slc25a20","Slc25a20","Slc25a20","SLC25A20","solute carrier family 25 (mitochondrial carnitine/acylcarnitine translocase), member 20","9","org.Mm.eg.db","Slc25a20","Q3U801;Q7TPW6;Q9Z2Z6"
"Car13","Car13","Car13","CA13","carbonic anhydrase 13","3","org.Mm.eg.db","Car13","Q3UBM2;Q9D6N1"
"Igfbp7","Igfbp7","Igfbp7","IGFBP7","insulin-like growth factor binding protein 7","5","org.Mm.eg.db","Igfbp7","E9Q5D9;F8WH23;O88812;Q61581;Q9EQW0"
"Itgal","Itgal","Itgal","ITGAL","integrin alpha L","7","org.Mm.eg.db","Itgal","E9Q5M7;E9QNL8;P24063;Q3U159;Q9WTV4;B7ZN91;B7ZN92"
"2810401C22Rik","2810401C22Rik","Zfp518a","ZNF518A","zinc finger protein 518A","19","org.Mm.eg.db","2810401C22Rik","B2RRF6;Q9CSF6"
"4833414E09Rik","4833414E09Rik","4833414E09Rik","","RIKEN cDNA 4833414E09 gene",NA,"org.Mm.eg.db","4833414E09Rik",NA
"Gbp3","Gbp3","Gbp3","GBP4","guanylate binding protein 3","3","org.Mm.eg.db","Gbp3","Q61107;Q8VEC5"
"Tkt","Tkt","Tkt","TKT","transketolase","14","org.Mm.eg.db","Tkt","A0A286YE28;P40142;Q3U7Y1;Q3UK62;Q545A1;Q9ESA0"
"Fabp7","Fabp7","Fabp7","FABP7","fatty acid binding protein 7, brain","10","org.Mm.eg.db","Fabp7","P51880;Q4FJK4;Q5NDA4"
"Gck","Gck","Map4k2","MAP4K2","mitogen-activated protein kinase kinase kinase kinase 2","19","org.Mm.eg.db","Gck","Q3U4B8;Q61161;Q14B83"
"8030476J24","8030476J24","Dock11","DOCK11","dedicator of cytokinesis 11","X","org.Mm.eg.db","8030476J24","A0A2X0U2I4;A2AF47;Q5KTP7"
"Hck","Hck","Hck","HCK","hemopoietic cell kinase","2","org.Mm.eg.db","Hck","F6UND7;P08103;Q0VH03;Q3UD17"
"Osbpl5","Osbpl5","Osbpl5","OSBPL5","oxysterol binding protein-like 5","7","org.Mm.eg.db","Osbpl5","Q8R510;Q99NF5;Q9ER64;G5E833"
"Ugcg","Ugcg","Ugcg","UGCG","UDP-glucose ceramide glucosyltransferase","4","org.Mm.eg.db","Ugcg","A2AN90;O88693"
"6330409N04Rik","6330409N04Rik","Spryd7","SPRYD7","SPRY domain containing 7","14","org.Mm.eg.db","6330409N04Rik","Q3UBW1;Q3TFQ1;Q8K1Y1;Q9CU44;Q9D368;Q9D3D1"
"4833409A17Rik","4833409A17Rik","Pyroxd2","PYROXD2","pyridine nucleotide-disulphide oxidoreductase domain 2","19","org.Mm.eg.db","4833409A17Rik","A0A494BA58;E9QPD2;Q3U4I7;Q8CAN2;Q9D630"
"Wdfy3","Wdfy3","Wdfy3","WDFY3","WD repeat and FYVE domain containing 3","5","org.Mm.eg.db","Wdfy3","Q6VNB8;Q8C8H7;G3UYW1;A0A1D5RLV7"
"Mnab","Mnab","Rc3h2","RC3H2","ring finger and CCCH-type zinc finger domains 2","2","org.Mm.eg.db","Mnab","A2AVP5;P0C090;Q148V4;Q148V5;A2AVP4"
"Lsm3","Lsm3","Lsm3","LSM3","LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated","6","org.Mm.eg.db","Lsm3","P62311"
"Slc16a10","Slc16a10","Slc16a10","SLC16A10","solute carrier family 16 (monocarboxylic acid transporters), member 10","10","org.Mm.eg.db","Slc16a10","Q3TNJ1;Q3U9N9;Q3UAN9;Q8BWR7;Q7TPW2"
"Apbb1ip","Apbb1ip","Apbb1ip","APBB1IP","amyloid beta precursor protein binding family B member 1 interacting protein","2","org.Mm.eg.db","Apbb1ip","B1AYC9;O35329;Q8BRU0;Q8R5A3;Q99KV8"
"Tm4sf1","Tm4sf1","Tm4sf1","TM4SF1","transmembrane 4 superfamily member 1","3","org.Mm.eg.db","Tm4sf1","Q3TP49;Q3UZY2;Q64302"
"Prkca","Prkca","Prkca","PRKCA","protein kinase C, alpha","11","org.Mm.eg.db","Prkca","P20444;Q4VA93"
"Relb","Relb","Relb","RELB","avian reticuloendotheliosis viral (v-rel) oncogene related B","7","org.Mm.eg.db","Relb","Q3U0K7;Q8K220;Q04863;Q8VE46"
"2310036D22Rik","2310036D22Rik","Tmem106b","TMEM106B","transmembrane protein 106B","6","org.Mm.eg.db","2310036D22Rik","Q80X71;Q9D737"
"Pcoln3","Pcoln3","Chmp1a","CHMP1A","charged multivesicular body protein 1A","8","org.Mm.eg.db","Pcoln3","Q3TW57;Q921W0"
"Ldb3","Ldb3","Ldb2;Ldb3","LDB2","LIM domain binding 2; LIM domain binding 3","5;14","org.Mm.eg.db","Ldb3","O55203;A0A0G2JFS7;O55205;Q3UHY1;Q6AXE6;Q9JKS4;E9PYJ9;B2RSB0;B7ZNT6;Q6A038;Q811P2;Q811P3;Q811P4;Q811P5;Q9D130;Q9JKS3;Q9R0Z1;Q9WVH1;Q9WVH2"
"BC052328","BC052328","Otulinl","OTULINL","OTU deubiquitinase with linear linkage specificity like",NA,"org.Mm.eg.db","BC052328","Q3TVP5;Q3U8Q4;Q80WP7;A0A2I3BPS6"
"Kif11","Kif11","Kif11","KIF11","kinesin family member 11","19","org.Mm.eg.db","Kif11","Q6P9P6;Q9Z1J0"
"Dcn","Dcn","Dcn","DCN","decorin","10","org.Mm.eg.db","Dcn","P28654;Q3TSV1;Q3UKR1"
"Mmrn2","Mmrn2","Mmrn2","MMRN2","multimerin 2","14","org.Mm.eg.db","Mmrn2","A6H6E2;Q8BJX4;Q8K1Z7"
"BC025076","BC025076","Mmgt2","","membrane magnesium transporter 2",NA,"org.Mm.eg.db","BC025076","Q8R3L0"
"Rtn1","Rtn1","Rtn1","RTN1","reticulon 1","12","org.Mm.eg.db","Rtn1","A3QM89;Q7M6W1;Q4FZ95;Q4FJL2;Q8K0T0;Q8K4S4"
"Card11","Card11","Card11","CARD11","caspase recruitment domain family, member 11","5","org.Mm.eg.db","Card11","Q4VA14;Q6KAS3;Q8BYV0;Q8CIS0"
"Grpel2","Grpel2","Grpel2","GRPEL2","GrpE-like 2, mitochondrial","18","org.Mm.eg.db","Grpel2","O88396;Q0VB85;Q3ULH8;Q3UYQ9;Q9CQ97"
"Myl2","Myl2","Myl2","MYL2","myosin, light polypeptide 2, regulatory, cardiac, slow","5","org.Mm.eg.db","Myl2","E9Q8Y0;P51667;Q6P8P4;Q9QVP3"
"Sh3bp4","Sh3bp4","Sh3bp4","SH3BP4","SH3-domain binding protein 4","1","org.Mm.eg.db","Sh3bp4","Q8BXV5;Q8BY95;Q8C007;Q921I6"
"3930402F23Rik","3930402F23Rik","Tceal8","TCEAL8","transcription elongation factor A (SII)-like 8","X","org.Mm.eg.db","3930402F23Rik","A2AJR7;Q9CYP9;Q9CZY2"
"Ncf2","Ncf2","Ncf2","NCF2","neutrophil cytosolic factor 2","1","org.Mm.eg.db","Ncf2","O70145;Q1PCS1;Q3TC92;Q3U5S4"
"Fbxo14","Fbxo14","Fbxo31","FBXO31","F-box protein 31","8","org.Mm.eg.db","Fbxo14","Q3TQF0;Q8K1A7;Q9JJC4"
"Il1f6","Il1f6","Il36a","IL36A","interleukin 36A","2","org.Mm.eg.db","Il1f6","Q149U6;Q9JLA2"
"Rhoc","Rhoc","Rhoc","RHOC","ras homolog family member C","3","org.Mm.eg.db","Rhoc","Q3TN61;Q3TUN0;Q62159"
"Jmy","Jmy","Jmy","JMY","junction-mediating and regulatory protein","13","org.Mm.eg.db","Jmy","A0A0R4J0V4;Q3UQZ0;Q5BL16;Q6NST0;Q8CBP9;Q8VDZ3;Q9QXM1"
"Tpte","Tpte","Tpte","TPTE2","transmembrane phosphatase with tensin homology","8","org.Mm.eg.db","Tpte","G5E8H5;Q3KNE1"
"Gpsm1","Gpsm1","Gpsm1","GPSM1","G-protein signalling modulator 1 (AGS3-like, C. elegans)","2","org.Mm.eg.db","Gpsm1","Q6IR34;A2AIX7;A2AIX8;A2AIX9;Q61366;Q8BUK4;Q8BX78;Q8R0R9;A2AIV3"
"Phxr4","Phxr4","Phxr4","","per-hexamer repeat gene 4","9","org.Mm.eg.db","Phxr4",NA
"A330042H22","A330042H22","Lpcat2","LPCAT2","lysophosphatidylcholine acyltransferase 2","8","org.Mm.eg.db","A330042H22","B2RWR2;A3KBM0;A9Q1G2;A9Q1G3;Q8BYI6"
"Glipr1","Glipr1","Glipr1","GLIPR1","GLI pathogenesis related 1","10","org.Mm.eg.db","Glipr1","Q4QQK5;Q9CWG1"
"Fgb","Fgb","Fgb","FGB","fibrinogen beta chain","3","org.Mm.eg.db","Fgb","Q3TGR2;Q8K0E8;Q91ZP1"
"Tcf21","Tcf21","Tcf21","TCF21","transcription factor 21","10","org.Mm.eg.db","Tcf21","A0A1W2P7S0;O35437;Q3U023"
