"","gene_name","gene_title","gene_biotype","chr","pos","tx_len","map"
"CYTH4","CYTH4","cytohesin 4","protein_coding","22","37282507","2486","22q13.1"
"CYTIP","CYTIP","cytohesin 1 interacting protein","protein_coding","2","157414618","2256","2q24.1"
"D2HGDH","D2HGDH","D-2-hydroxyglutarate dehydrogenase","protein_coding","2","241734629","2272","2q37.3"
"DAD1","DAD1","defender against cell death 1","protein_coding","14","22564906","697","14q11.2"
"DAGLB","DAGLB","diacylglycerol lipase beta","protein_coding","7","6409115","2441","7p22.1"
"DAP","DAP","death associated protein","protein_coding","5","10679229","2320","5p15.2"
"DAP3","DAP3","death associated protein 3","protein_coding","1","155689090","2042","1q22"
"DAPK3","DAPK3","death associated protein kinase 3","protein_coding","19","3958452","2131","19p13.3"
"DAPP1","DAPP1","dual adaptor of phosphotyrosine and 3-phosphoinositides 1","protein_coding","4","99816826","2337","4q23"
"DARS2","DARS2","aspartyl-tRNA synthetase 2, mitochondrial","protein_coding","1","173824672","3348","1q25.1"
"DAXX","DAXX","death domain associated protein","protein_coding","6","33318557","2366","6p21.32"
"DAZAP1","DAZAP1","DAZ associated protein 1","protein_coding","19","1407585","1659","19p13.3"
"DAZAP2","DAZAP2","DAZ associated protein 2","protein_coding","12","51238723","1927","12q13.13"
"DBF4B","DBF4B","DBF4 zinc finger B","protein_coding","17","44708664","2313","17q21.31|17q21"
"DBN1","DBN1","drebrin 1","protein_coding","5","177456609","2608","5q35.3"
"DBNL","DBNL","drebrin like","protein_coding","7","44044701","2092","7p13"
"DBR1","DBR1","debranching RNA lariats 1","protein_coding","3","138160987","2477","3q22.3"
"DBT","DBT","dihydrolipoamide branched chain transacylase E2","protein_coding","1","100186918","7790","1p21.2"
"DCAF1","DCAF1","DDB1 and CUL4 associated factor 1","protein_coding","3","51395866","4112","3p21.2"
"DCAF11","DCAF11","DDB1 and CUL4 associated factor 11","protein_coding","14","24115282","3962","14q12"
"DCAF13","DCAF13","DDB1 and CUL4 associated factor 13","protein_coding","8","103415385","2076","8q22.3"
"DCAF15","DCAF15","DDB1 and CUL4 associated factor 15","protein_coding","19","13952473","1608","19p13.12"
"DCAF16","DCAF16","DDB1 and CUL4 associated factor 16","protein_coding","4","17793445","4548","4p15.31"
"DCAF4","DCAF4","DDB1 and CUL4 associated factor 4","protein_coding","14","72926463","2489","14q24.2"
"DCAF5","DCAF5","DDB1 and CUL4 associated factor 5","protein_coding","14","69050919","4160","14q24.1"
"DCAF6","DCAF6","DDB1 and CUL4 associated factor 6","protein_coding","1","167936558","3084","1q24.2"
"DCAF7","DCAF7","DDB1 and CUL4 associated factor 7","protein_coding","17","63550476","4525","17q23.3"
"DCAF8","DCAF8","DDB1 and CUL4 associated factor 8","protein_coding","1","160215719","3038","1q23.2"
"DCAKD","DCAKD","dephospho-CoA kinase domain containing","protein_coding","17","45023343","1702","17q21.31"
"DCD","DCD","dermcidin","protein_coding","12","54644588","594","12q13.2"
"DCK","DCK","deoxycytidine kinase","protein_coding","4","70993648","2643","4q13.3"
"DCLRE1A","DCLRE1A","DNA cross-link repair 1A","protein_coding","10","113834724","4426","10q25.3"
"DCP1A","DCP1A","decapping mRNA 1A","protein_coding","3","53283428","3726","3p21.1"
"DCP1B","DCP1B","decapping mRNA 1B","protein_coding","12","1941590","1822","12p13.33"
"DCP2","DCP2","decapping mRNA 2","protein_coding","5","112976797","7791","5q22.2"
"DCPS","DCPS","decapping enzyme, scavenger","protein_coding","11","126304059","1479","11q24.2"
"DCTD","DCTD","dCMP deaminase","protein_coding","4","182890090","1962","4q35.1"
"DCTN1","DCTN1","dynactin subunit 1","protein_coding","2","74361154","4075","2p13.1"
"DCTN2","DCTN2","dynactin subunit 2","protein_coding","12","57530050","2156","12q13.3"
"DCTN3","DCTN3","dynactin subunit 3","protein_coding","9","34613545","876","9p13.3"
"DCTN4","DCTN4","dynactin subunit 4","protein_coding","5","150708746","2700","5q33.1"
"DCTN5","DCTN5","dynactin subunit 5","protein_coding","16","23641465","5701","16p12.2"
"DCTN6","DCTN6","dynactin subunit 6","protein_coding","8","30156368","1126","8p12"
"DCTPP1","DCTPP1","dCTP pyrophosphatase 1","protein_coding","16","30423614","1120","16p11.2"
"DCUN1D1","DCUN1D1","defective in cullin neddylation 1 domain containing 1","protein_coding","3","182938073","3152","3q26.33"
"DCUN1D4","DCUN1D4","defective in cullin neddylation 1 domain containing 4","protein_coding","4","51842999","4463","4q12"
"DCUN1D5","DCUN1D5","defective in cullin neddylation 1 domain containing 5","protein_coding","11","103050685","12764","11q22.3"
"DCXR","DCXR","dicarbonyl and L-xylulose reductase","protein_coding","17","82035857","826","17q25.3"
"DDA1","DDA1","DET1 and DDB1 associated 1","protein_coding","19","17309562","4077","19p13.11"
"DDAH2","DDAH2","dimethylarginine dimethylaminohydrolase 2","protein_coding","6_GL000255v2_alt","2982850","1508","6p21.33"
"DDB1","DDB1","damage specific DNA binding protein 1","protein_coding","11","61299451","2349","11q12.2"
"DDB2","DDB2","damage specific DNA binding protein 2","protein_coding","11","47214973","1696","11p11.2"
"DDHD1","DDHD1","DDHD domain containing 1","protein_coding","14","53036754","10939","14q22.1"
"DDHD2","DDHD2","DDHD domain containing 2","protein_coding","8","38231584","3283","8p11.23"
"DDI2","DDI2","DNA damage inducible 1 homolog 2","protein_coding","1","15617457","2138","1p36.21"
"DDIT3","DDIT3","DNA damage inducible transcript 3","protein_coding","12","57516587","1010","12q13.3"
"DDOST","DDOST","dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit","protein_coding","1","20651777","2071","1p36.12"
"DDR2","DDR2","discoidin domain receptor tyrosine kinase 2","protein_coding","1","162632463","3204","1q23.3"
"DDRGK1","DDRGK1","DDRGK domain containing 1","protein_coding","20","3190349","1386","20p13"
"DDT","DDT","D-dopachrome tautomerase","protein_coding","22","23971370","646","22q11.23"
"DDX1","DDX1","DEAD-box helicase 1","protein_coding","2","15591867","2427","2p24.3"
"DDX10","DDX10","DEAD-box helicase 10","protein_coding","11","108665068","4966","11q22.3"
"DDX11","DDX11","DEAD/H-box helicase 11","protein_coding","12","31073859","2992","12p11.21"
"DDX17","DDX17","DEAD-box helicase 17","protein_coding","22","38483437","3758","22q13.1"
"DDX18","DDX18","DEAD-box helicase 18","protein_coding","2","117814690","3765","2q14.1"
"DDX19A","DDX19A","DEAD-box helicase 19A","protein_coding","16","70346828","2605","16q22.1"
"DDX19B","DDX19B","DEAD-box helicase 19B","protein_coding","16","70299052","1739","16q22.1"
"DDX20","DDX20","DEAD-box helicase 20","protein_coding","1","111755900","3729","1p13.2"
"DDX21","DDX21","DExD-box helicase 21","protein_coding","10","68956439","4772","10q22.1"
"DDX23","DDX23","DEAD-box helicase 23","protein_coding","12","48829755","3267","12q13.12"
"DDX24","DDX24","DEAD-box helicase 24","protein_coding","14_KI270847v1_alt","1162848","2665","14q32.12"
"DDX27","DDX27","DEAD-box helicase 27","protein_coding","20","49219415","2695","20q13.13"
"DDX28","DDX28","DEAD-box helicase 28","protein_coding","16","68020918","2594","16q22.1"
"DDX31","DDX31","DEAD-box helicase 31","protein_coding","9","132592996","2522","9q34.13"
"DDX39A","DDX39A","DExD-box helicase 39A","protein_coding","19","14408797","1353","19p13.12"
"DDX39B","DDX39B","DExD-box helicase 39B","protein_coding","6_GL000253v2_alt","2835298","2078","6p21.33"
"DDX3X","DDX3X","DEAD-box helicase 3 X-linked","protein_coding","X","41334161","3759","Xp11.4"
"DDX3Y","DDX3Y","DEAD-box helicase 3 Y-linked","protein_coding","Y","12905704","3289","Yq11.221"
"DDX41","DDX41","DEAD-box helicase 41","protein_coding","5","177511576","2194","5q35.3"
"DDX42","DDX42","DEAD-box helicase 42","protein_coding","17","63774188","3084","17q23.3"
"DDX46","DDX46","DEAD-box helicase 46","protein_coding","5","134758778","4216","5q31.1"
"DDX47","DDX47","DEAD-box helicase 47","protein_coding","12","12813345","1793","12p13.1"
"DDX49","DDX49","DEAD-box helicase 49","protein_coding","19","18919714","1766","19p13.11"
"DDX5","DDX5","DEAD-box helicase 5","protein_coding","17","64498253","3034","17q23.3"
"DDX50","DDX50","DExD-box helicase 50","protein_coding","10","68901314","2276","10q22.1"
"DDX51","DDX51","DEAD-box helicase 51","protein_coding","12","132136594","4717","12q24.33"
"DDX52","DDX52","DExD-box helicase 52","protein_coding","17_KI270857v1_alt","1848854","3206","17q12"
"DDX54","DDX54","DEAD-box helicase 54","protein_coding","12","113157172","4380","12q24.13"
"DDX55","DDX55","DEAD-box helicase 55","protein_coding","12","123602098","2615","12q24.31"
"DDX56","DDX56","DEAD-box helicase 56","protein_coding","7","44565416","2609","7p13"
"DDX58","DDX58","DExD/H-box helicase 58","protein_coding","9","32455301","3786","9p21.1"
"DDX59","DDX59","DEAD-box helicase 59","protein_coding","1","200640804","2212","1q32.1"
"DDX6","DDX6","DEAD-box helicase 6","protein_coding","11","118747763","5925","11q23.3"
"DDX60","DDX60","DExD/H-box helicase 60","protein_coding","4","168216293","5470","4q32.3"
"DDX60L","DDX60L","DExD/H-box 60 like","protein_coding","4","168390098","4701","4q32.3"
"DEAF1","DEAF1","DEAF1 transcription factor","protein_coding","11","644219","2320","11p15.5"
"DECR1","DECR1","2,4-dienoyl-CoA reductase 1","protein_coding","8","90001476","1363","8q21.3"
"DEFA3","DEFA3","defensin alpha 3","protein_coding","8","7015868","","8p23.1"
"DEFA6","DEFA6","defensin alpha 6","protein_coding","8","6924696","468","8p23.1"
"DEGS1","DEGS1","delta 4-desaturase, sphingolipid 1","protein_coding","1","224183239","2063","1q42.11"
"DEK","DEK","DEK proto-oncogene","protein_coding","6","18223859","2348","6p22.3"
"DENND1A","DENND1A","DENN domain containing 1A","protein_coding","9","123400095","3753","9q33.3"
"DENND1B","DENND1B","DENN domain containing 1B","protein_coding","1","197504748","4282","1q31.3"
"DENND1C","DENND1C","DENN domain containing 1C","protein_coding","19","6467206","2595","19p13.3"
"DENND2D","DENND2D","DENN domain containing 2D","protein_coding","1","111185968","3262","1p13.3-p13.2"
"DENND3","DENND3","DENN domain containing 3","protein_coding","8","141128588","3447","8q24.3"
"DENND4A","DENND4A","DENN domain containing 4A","protein_coding","15","65659122","5428","15q22.31"
"DENND4B","DENND4B","DENN domain containing 4B","protein_coding","1","153929500","5688","1q21.3"
"DENND4C","DENND4C","DENN domain containing 4C","protein_coding","9","19230692","6028","9p22.1"
"DENND5A","DENND5A","DENN domain containing 5A","protein_coding","11","9138825","4316","11p15.4"
"DENR","DENR","density regulated re-initiation and release factor","protein_coding","12","122752823","3061","12q24.31"
"DEPDC1B","DEPDC1B","DEP domain containing 1B","protein_coding","5","60596911","2402","5q12.1"
"DEPDC5","DEPDC5","DEP domain containing 5, GATOR1 subcomplex subunit","protein_coding","22","31753967","3585","22q12.2-q12.3"
"DERA","DERA","deoxyribose-phosphate aldolase","protein_coding","12","15911331","1474","12p12.3"
"DERL1","DERL1","derlin 1","protein_coding","8","123013163","3906","8q24.13"
"DERL2","DERL2","derlin 2","protein_coding","17","5471254","1124","17p13.2"
"DESI1","DESI1","desumoylating isopeptidase 1","protein_coding","22","41598027","3748","22q13.2"
"DFFA","DFFA","DNA fragmentation factor subunit alpha","protein_coding","1","10456521","2716","1p36.22"
"DFFB","DFFB","DNA fragmentation factor subunit beta","protein_coding","1","3857475","2480","1p36.32"
"DGAT1","DGAT1","diacylglycerol O-acyltransferase 1","protein_coding","8","144314583","3705","8q24.3"
"DGCR8","DGCR8","DGCR8 microprocessor complex subunit","protein_coding","22","20080231","4159","22q11.21"
"DGKA","DGKA","diacylglycerol kinase alpha","protein_coding","12","55932027","2441","12q13.2"
"DGKE","DGKE","diacylglycerol kinase epsilon","protein_coding","17","56834150","6568","17q22"
"DGKQ","DGKQ","diacylglycerol kinase theta","protein_coding","4","958886","4624","4p16.3"
"DGKZ","DGKZ","diacylglycerol kinase zeta","protein_coding","11","46347462","3475","11p11.2"
"DGUOK","DGUOK","deoxyguanosine kinase","protein_coding","2","73926879","930","2p13.1"
"DHCR24","DHCR24","24-dehydrocholesterol reductase","protein_coding","1","54849626","3886","1p32.3"
"DHCR7","DHCR7","7-dehydrocholesterol reductase","protein_coding","11","71434410","2654","11q13.4"
"DHFR","DHFR","dihydrofolate reductase","protein_coding","5","80626225","3831","5q14.1"
"DHODH","DHODH","dihydroorotate dehydrogenase (quinone)","protein_coding","16","72008743","2427","16q22.2"
"DHPS","DHPS","deoxyhypusine synthase","protein_coding","19","12675716","1198","19p13.13"
"DHRS1","DHRS1","dehydrogenase/reductase 1","protein_coding","14","24290597","1871","14q12"
"DHRS11","DHRS11","dehydrogenase/reductase 11","protein_coding","17","36591878","1598","17q12"
"DHRS3","DHRS3","dehydrogenase/reductase 3","protein_coding","1","12567909","1183","1p36.21"
"DHRS4","DHRS4","dehydrogenase/reductase 4","protein_coding","14_KZ208920v1_fix","254748","1225","14q11.2"
"DHRS7","DHRS7","dehydrogenase/reductase 7","protein_coding","14","60144118","1303","14q23.1"
"DHRS7B","DHRS7B","dehydrogenase/reductase 7B","protein_coding","17","21126927","1292","17p11.2"
"DHX15","DHX15","DEAH-box helicase 15","protein_coding","4","24527474","2712","4p15.2"
"DHX16","DHX16","DEAH-box helicase 16","protein_coding","6_GL000254v2_alt","1997168","2690","6p21.33"
"DHX29","DHX29","DExH-box helicase 29","protein_coding","5","55256054","4516","5q11.2"
"DHX33","DHX33","DEAH-box helicase 33","protein_coding","17","5440916","5254","17p13.2"
"DHX34","DHX34","DExH-box helicase 34","protein_coding","19","47349314","2606","19q13.32"
"DHX35","DHX35","DEAH-box helicase 35","protein_coding","20","38962343","3302","20q11.23-q12"
"DHX36","DHX36","DEAH-box helicase 36","protein_coding","3","154275667","3568","3q25.2"
"DHX37","DHX37","DEAH-box helicase 37","protein_coding","12","124946825","3248","12q24.31"
"DHX38","DHX38","DEAH-box helicase 38","protein_coding","16","72093846","2565","16q22.2"
"DHX40","DHX40","DEAH-box helicase 40","protein_coding","17","59565609","2585","17q23.1"
"DHX57","DHX57","DExH-box helicase 57","protein_coding","2","38797730","4314","2p22.1"
"DHX58","DHX58","DExH-box helicase 58","protein_coding","17","42101410","2408","17q21.2"
"DHX8","DHX8","DEAH-box helicase 8","protein_coding","17","43483864","3600","17q21.31"
"DHX9","DHX9","DExH-box helicase 9","protein_coding","1","182839346","3402","1q25.3"
"DIABLO","DIABLO","diablo IAP-binding mitochondrial protein","protein_coding","12","122207667","2164","12q24.31"
"DIAPH1","DIAPH1","diaphanous related formin 1","protein_coding","5","141515020","4526","5q31.3"
"DIAPH2","DIAPH2","diaphanous related formin 2","protein_coding","X","96684662","3463","Xq21.33"
"DIAPH3","DIAPH3","diaphanous related formin 3","protein_coding","13","59665588","3594","13q21.2"
"DICER1","DICER1","dicer 1, ribonuclease III","protein_coding","14","95086227","4995","14q32.13"
"DIDO1","DIDO1","death inducer-obliterator 1","protein_coding","20","62877737","5393","20q13.33"
"DIMT1","DIMT1","DIMT1 rRNA methyltransferase and ribosome maturation factor","protein_coding","5","62387253","1264","5q12.1"
"DIP2B","DIP2B","disco interacting protein 2 homolog B","protein_coding","12","50504984","5216","12q13.12"
"DIS3","DIS3","DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease","protein_coding","13","72752169","6320","13q21.33"
"DIS3L","DIS3L","DIS3 like exosome 3'-5' exoribonuclease","protein_coding","15","66293308","3059","15q22.31"
"DIS3L2","DIS3L2","DIS3 like 3'-5' exoribonuclease 2","protein_coding","2","231961712","3468","2q37.1"
"DIXDC1","DIXDC1","DIX domain containing 1","protein_coding","11","111977308","4129","11q23.1"
"DKC1","DKC1","dyskerin pseudouridine synthase 1","protein_coding","X","154762741","2570","Xq28"
"DLAT","DLAT","dihydrolipoamide S-acetyltransferase","protein_coding","11","112025407","3979","11q23.1"
"DLD","DLD","dihydrolipoamide dehydrogenase","protein_coding","7","107891106","3006","7q31.1"
"DLG1","DLG1","discs large MAGUK scaffold protein 1","protein_coding","3","197042559","3878","3q29"
"DLG3","DLG3","discs large MAGUK scaffold protein 3","protein_coding","X","70452291","5210","Xq13.1"
"DLG4","DLG4","discs large MAGUK scaffold protein 4","protein_coding","17","7187179","3218","17p13.1"
"DLGAP4","DLGAP4","DLG associated protein 4","protein_coding","20","36461467","4096","20q11.23"
"DLGAP5","DLGAP5","DLG associated protein 5","protein_coding","14","55148134","3038","14q22.3"
"DLST","DLST","dihydrolipoamide S-succinyltransferase","protein_coding","14","74881915","2253","14q24.3"
"DMAP1","DMAP1","DNA methyltransferase 1 associated protein 1","protein_coding","1","44213470","1338","1p34.1"
"DMTF1","DMTF1","cyclin D binding myb like transcription factor 1","protein_coding","7","87152360","3560","7q21.12"
"DMTN","DMTN","dematin actin binding protein","protein_coding","8","22059079","2340","8p21.3"
"DMXL1","DMXL1","Dmx like 1","protein_coding","5","119071054","7249","5q23.1"
"DNA2","DNA2","DNA replication helicase/nuclease 2","protein_coding","10","68414063","3607","10q21.3"
"DNAAF2","DNAAF2","dynein axonemal assembly factor 2","protein_coding","14","49625173","2891","14q21.3"
"DNAAF5","DNAAF5","dynein axonemal assembly factor 5","protein_coding","7","726698","2736","7p22.3"
"DNAJA1","DNAJA1","DnaJ heat shock protein family (Hsp40) member A1","protein_coding","9","33025202","1359","9p21.1"
"DNAJA2","DNAJA2","DnaJ heat shock protein family (Hsp40) member A2","protein_coding","16","46955361","3048","16q11.2"
"DNAJA3","DNAJA3","DnaJ heat shock protein family (Hsp40) member A3","protein_coding","16","4425804","2568","16p13.3"
"DNAJA4","DNAJA4","DnaJ heat shock protein family (Hsp40) member A4","protein_coding","15","78266217","2779","15q25.1"
"DNAJB1","DNAJB1","DnaJ heat shock protein family (Hsp40) member B1","protein_coding","19","14514763","2164","19p13.12"
"DNAJB11","DNAJB11","DnaJ heat shock protein family (Hsp40) member B11","protein_coding","3","186570719","2204","3q27.3"
"DNAJB12","DNAJB12","DnaJ heat shock protein family (Hsp40) member B12","protein_coding","10","72332834","3567","10q22.1"
"DNAJB14","DNAJB14","DnaJ heat shock protein family (Hsp40) member B14","protein_coding","4","99923683","5062","4q23"
"DNAJB2","DNAJB2","DnaJ heat shock protein family (Hsp40) member B2","protein_coding","2","219279365","2240","2q35"
"DNAJB6","DNAJB6","DnaJ heat shock protein family (Hsp40) member B6","protein_coding","7","157337003","2600","7q36.3"
"DNAJC1","DNAJC1","DnaJ heat shock protein family (Hsp40) member C1","protein_coding","10","21756547","1483","10p12.31"
"DNAJC10","DNAJC10","DnaJ heat shock protein family (Hsp40) member C10","protein_coding","2","182716256","6192","2q32.1"
"DNAJC11","DNAJC11","DnaJ heat shock protein family (Hsp40) member C11","protein_coding","1","6634169","3216","1p36.31"
"DNAJC12","DNAJC12","DnaJ heat shock protein family (Hsp40) member C12","protein_coding","10","67811207","996","10q21.3"
"DNAJC13","DNAJC13","DnaJ heat shock protein family (Hsp40) member C13","protein_coding","3","132417501","3784","3q22.1"
"DNAJC15","DNAJC15","DnaJ heat shock protein family (Hsp40) member C15","protein_coding","13","43023585","2776","13q14.11"
"DNAJC16","DNAJC16","DnaJ heat shock protein family (Hsp40) member C16","protein_coding","1","15526847","4277","1p36.21"
"DNAJC17","DNAJC17","DnaJ heat shock protein family (Hsp40) member C17","protein_coding","15","40765160","922","15q15.1"
"DNAJC19","DNAJC19","DnaJ heat shock protein family (Hsp40) member C19","protein_coding","3","180983709","1390","3q26.33"
"DNAJC2","DNAJC2","DnaJ heat shock protein family (Hsp40) member C2","protein_coding","7","103312288","2088","7q22.1"
"DNAJC21","DNAJC21","DnaJ heat shock protein family (Hsp40) member C21","protein_coding","5","34929558","3989","5p13.2"
"DNAJC24","DNAJC24","DnaJ heat shock protein family (Hsp40) member C24","protein_coding","11","31369859","2917","11p13"
"DNAJC3","DNAJC3","DnaJ heat shock protein family (Hsp40) member C3","protein_coding","13","95677138","4538","13q32.1"
"DNAJC30","DNAJC30","DnaJ heat shock protein family (Hsp40) member C30","protein_coding","7","73680917","2534","7q11.23"
"DNAJC5","DNAJC5","DnaJ heat shock protein family (Hsp40) member C5","protein_coding","20","63895125","5658","20q13.33"
"DNAJC7","DNAJC7","DnaJ heat shock protein family (Hsp40) member C7","protein_coding","17","41976420","1820","17q21.2"
"DNAJC8","DNAJC8","DnaJ heat shock protein family (Hsp40) member C8","protein_coding","1","28200278","1825","1p35.3"
"DNAJC9","DNAJC9","DnaJ heat shock protein family (Hsp40) member C9","protein_coding","10","73241955","2353","10q22.2"
"DNASE2","DNASE2","deoxyribonuclease 2, lysosomal","protein_coding","19","12875208","1926","19p13.13"
"DNLZ","DNLZ","DNL-type zinc finger","protein_coding","9","136359482","748","9q34.3"
"DNM1L","DNM1L","dynamin 1 like","protein_coding","12","32679199","3801","12p11.21"
"DNM2","DNM2","dynamin 2","protein_coding","19","10718052","3805","19p13.2"
"DNMBP","DNMBP","dynamin binding protein","protein_coding","10","99875570","4893","10q24.2"
"DNMT1","DNMT1","DNA methyltransferase 1","protein_coding","19","10133345","3619","19p13.2"
"DNMT3A","DNMT3A","DNA methyltransferase 3 alpha","protein_coding","2","25281451","3739","2p23.3"
"DNPEP","DNPEP","aspartyl aminopeptidase","protein_coding","2","219372042","2227","2q35"
"DNPH1","DNPH1","2'-deoxynucleoside 5'-phosphate N-hydrolase 1","protein_coding","6","43225628","722","6p21.1"
"DNTTIP1","DNTTIP1","deoxynucleotidyltransferase terminal interacting protein 1","protein_coding","20","45791953","1290","20q13.12"
"DNTTIP2","DNTTIP2","deoxynucleotidyltransferase terminal interacting protein 2","protein_coding","1","93866283","2159","1p22.1"
"DOCK10","DOCK10","dedicator of cytokinesis 10","protein_coding","2","224765089","4883","2q36.2"
"DOCK11","DOCK11","dedicator of cytokinesis 11","protein_coding","X","118495908","6347","Xq24"
"DOCK2","DOCK2","dedicator of cytokinesis 2","protein_coding","5","169637274","4068","5q35.1"
"DOCK7","DOCK7","dedicator of cytokinesis 7","protein_coding","1","62454725","5040","1p31.3"
"DOCK8","DOCK8","dedicator of cytokinesis 8","protein_coding","9","273045","4985","9p24.3"
"DOCK9","DOCK9","dedicator of cytokinesis 9","protein_coding","13","98793428","5620","13q32.3"
"DOHH","DOHH","deoxyhypusine hydroxylase","protein_coding","19","3490823","1888","19p13.3"
"DOK2","DOK2","docking protein 2","protein_coding","8","21908872","1549","8p21.3"
"DOLPP1","DOLPP1","dolichyldiphosphatase 1","protein_coding","9","129081110","2062","9q34.11"
"DONSON","DONSON","DNA replication fork stabilization factor DONSON","protein_coding","21","33577552","2078","21q22.11"
"DOT1L","DOT1L","DOT1 like histone lysine methyltransferase","protein_coding","19","2163932","5540","19p13.3"
"DPAGT1","DPAGT1","dolichyl-phosphate N-acetylglucosaminephosphotransferase 1","protein_coding","11","119096509","2164","11q23.3"
"DPEP1","DPEP1","dipeptidase 1","protein_coding","16","89620596","1650","16q24.3"
"DPF2","DPF2","double PHD fingers 2","protein_coding","11","65333851","2254","11q13.1"
"DPH1","DPH1","diphthamide biosynthesis 1","protein_coding","17","2030111","2237","17p13.3"
"DPH2","DPH2","diphthamide biosynthesis 2","protein_coding","1","43970009","2250","1p34.1"
"DPH3","DPH3","diphthamide biosynthesis 3","protein_coding","3","16257060","4027","3p25.1"
"DPH5","DPH5","diphthamide biosynthesis 5","protein_coding","1","100989624","1854","1p21.2"
"DPH6","DPH6","diphthamine biosynthesis 6","protein_coding","15","35518991","2214","15q14"
"DPM1","DPM1","dolichyl-phosphate mannosyltransferase subunit 1, catalytic","protein_coding","20","50934873","1058","20q13.13"
"DPM3","DPM3","dolichyl-phosphate mannosyltransferase subunit 3, regulatory","protein_coding","1","155139890","451","1q22"
"DPP3","DPP3","dipeptidyl peptidase 3","protein_coding","11","66480433","2493","11q13.2"
"DPP4","DPP4","dipeptidyl peptidase 4","protein_coding","2","161992244","2350","2q24.2"
"DPP7","DPP7","dipeptidyl peptidase 7","protein_coding","9","137110545","1156","9q34.3"
"DPP8","DPP8","dipeptidyl peptidase 8","protein_coding","15","65442466","3756","15q22.31"
"DPP9","DPP9","dipeptidyl peptidase 9","protein_coding","19","4675226","4269","19p13.3"
"DPY19L1","DPY19L1","dpy-19 like C-mannosyltransferase 1","protein_coding","7","34928880","2704","7p14.2"
"DPY30","DPY30","dpy-30 histone methyltransferase complex regulatory subunit","protein_coding","2","32023904","739","2p22.3"
"DPYD","DPYD","dihydropyrimidine dehydrogenase","protein_coding","1","97719757","2379","1p21.3"
"DPYSL2","DPYSL2","dihydropyrimidinase like 2","protein_coding","8","26578404","3737","8p21.2"
"DPYSL4","DPYSL4","dihydropyrimidinase like 4","protein_coding","10","132186947","2719","10q26.3"
"DR1","DR1","down-regulator of transcription 1","protein_coding","1","93345906","3208","1p22.1"
"DRAP1","DRAP1","DR1 associated protein 1","protein_coding","11","65919425","1005","11q13.1"
"DRG1","DRG1","developmentally regulated GTP binding protein 1","protein_coding","22","31399603","1450","22q12.2"
"DRG2","DRG2","developmentally regulated GTP binding protein 2","protein_coding","17","18087947","1674","17p11.2"
"DROSHA","DROSHA","drosha ribonuclease III","protein_coding","5","31400494","4085","5p13.3"
"DSC1","DSC1","desmocollin 1","protein_coding","18","31129250","4233","18q12.1"
"DSCC1","DSCC1","DNA replication and sister chromatid cohesion 1","protein_coding","8","119833975","2269","8q24.12"
"DSG1","DSG1","desmoglein 1","protein_coding","18","31318159","4533","18q12.1"
"DSN1","DSN1","DSN1 component of MIS12 kinetochore complex","protein_coding","20","36751794","2246","20q11.23"
"DSP","DSP","desmoplakin","protein_coding","6","7541670","8688","6p24.3"
"DST","DST","dystonin","protein_coding","6","56457995","7853","6p12.1"
"DSTN","DSTN","destrin, actin depolymerizing factor","protein_coding","20","17570074","1603","20p12.1"
"DTD1","DTD1","D-aminoacyl-tRNA deacylase 1","protein_coding","20","18588053","1367","20p11.23"
"DTNB","DTNB","dystrobrevin beta","protein_coding","2","25377242","2131","2p23.3"
"DTNBP1","DTNBP1","dystrobrevin binding protein 1","protein_coding","6","15522807","1603","6p22.3"
"DTWD1","DTWD1","DTW domain containing 1","protein_coding","15","49621047","2258","15q21.2"
"DTWD2","DTWD2","DTW domain containing 2","protein_coding","5","118836073","4974","5q23.1"
"DTX3L","DTX3L","deltex E3 ubiquitin ligase 3L","protein_coding","3","122564337","4999","3q21.1"
"DTYMK","DTYMK","deoxythymidylate kinase","protein_coding","2","241675748","1167","2q37.3"
"DUS1L","DUS1L","dihydrouridine synthase 1 like","protein_coding","17","82057505","1520","17q25.3"
"DUS2","DUS2","dihydrouridine synthase 2","protein_coding","16","68023283","2263","16q22.1"
"DUS3L","DUS3L","dihydrouridine synthase 3 like","protein_coding","19","5785141","1495","19p13.3"
"DUSP11","DUSP11","dual specificity phosphatase 11","protein_coding","2","73762197","1925","2p13.1"
"DUSP12","DUSP12","dual specificity phosphatase 12","protein_coding","1","161749785","1249","1q23.3"
"DUSP19","DUSP19","dual specificity phosphatase 19","protein_coding","2","183078746","5286","2q32.1"
"DUSP22","DUSP22","dual specificity phosphatase 22","protein_coding","6","292056","2271","6p25.3"
"DUSP23","DUSP23","dual specificity phosphatase 23","protein_coding","1","159780961","706","1q23.2"
"DUSP3","DUSP3","dual specificity phosphatase 3","protein_coding","17","43766125","4262","17q21.31"
"DUSP4","DUSP4","dual specificity phosphatase 4","protein_coding","8","29333061","6028","8p12"
"DUT","DUT","deoxyuridine triphosphatase","protein_coding","15","48331423","1950","15q21.1"
"DVL2","DVL2","dishevelled segment polarity protein 2","protein_coding","17","7225341","2074","17p13.1"
"DXO","DXO","decapping exoribonuclease","protein_coding","6_GL000254v2_alt","3311850","1252","6p21.33"
"DYM","DYM","dymeclin","protein_coding","18","49036386","1785","18q21.1"
